Model ,Device Type ,Brand Name ,Number Of Ports ,VID ,DID ,SVID ,SSID ,Release/Detail URL,Releases
XP450C-M,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="8",="1000",="0016",1f24,d215,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=55785,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7
XP450C-M JBOD Mode,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="8",="1000",="0016",1f24,da15,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=59569,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0
XP460C-M,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="16",="1000",="0014",1f24,d216,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=57255,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7
XP460C-M JBOD Mode,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="16",="1000",="0014",1f24,da16,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=59573,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0
XR150-M,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="8",="1000",="0017",1f24,d213,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=55788,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7
XR170-M-16i,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="16",="1000",="10e6",1f24,="3005",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=56982,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0
XR170-M-8i,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="8",="1000",="10e6",1f24,="3002",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=56980,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0
XR370-M-16i,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="16",="1000",="00e6",1f24,="3004",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=56976,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0
XR370-M-8i,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="8",="1000",="00e6",1f24,="3003",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=56974,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0
XR450C-M,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="8",="1000",="0016",1f24,d215,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=55781,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7
XR450C-M JBOD Mode,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="8",="1000",="0016",1f24,da15,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=59568,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0
XR450C-MX,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="8",="1000",="0016",1f24,d215,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=55786,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7
XR450C-MX JBOD Mode,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="8",="1000",="0016",1f24,da15,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=59570,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0
XR760-M,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="16",="1000",="0015",1f24,d214,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=55800,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7
XR760IT-M,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="16",="1000",00ac,1f24,="3000",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=55749,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3
