Model ,Device Type ,Brand Name ,Number Of Ports ,VID ,DID ,SVID ,SSID ,Release/Detail URL,Releases
SR450-M,SAS/SATA-RAID,Huawei Technologies Co. Ltd.,="8",="1000",="0016",="19e5",d215,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44007,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
SR450C-M,SAS/SATA-RAID,Huawei Technologies Co. Ltd.,="8",="1000",="0016",="19e5",d215,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44006,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
SR760-M,SAS/SATA-RAID,Huawei Technologies Co. Ltd.,="16",="1000",="0015",="19e5",d214,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=45157,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
SR760IT-M,SAS/SATA-RAID,Huawei Technologies Co. Ltd.,="16",="1000",00ac,="19e5",="3000",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44431,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
Inspur 3408iMR Mezz,SAS/SATA-RAID,Inspur Electronic Information Industry Co. Ltd,="0",="1000",="0017",1bd4,f001,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=57722,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0
Intel RAID Controller RSP3WD080E,SAS/SATA-RAID,Intel Corporation,="8",="1000",="0017",="8086",="9441",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=53462,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7
4Y37A09721 - ThinkSystem RAID 930-16i 8GB Flash PCIe 12Gb Adapter,SAS/SATA-RAID,Lenovo,="16",="1000",="0014",1d49,="0607",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=46290,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
4Y37A09727 - ThinkSystem RAID 530-16i PCIe 12Gb Adapter,SAS/SATA-RAID,Lenovo,="16",="1000",="0015",1d49,="0503",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=48649,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
4Y37A09733 - ThinkSystem RAID 940-32i 8GB Flash PCIe Gen4 12Gb Adapter,SAS/SATA-RAID,Lenovo,="32",="1000",="10e2",1d49,060e,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=50572,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7
4Y37A72482 - ThinkSystem RAID 5350-8i PCIe 12Gb Adapter,SAS/SATA-RAID,Lenovo,="8",="9005",028f,1d49,="0520",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=52913,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5
